n_seqs = 8703
n_types = 25

          n_events    time_span  time_elapsed
count  8703.000000  8703.000000  90787.000000
mean     11.431690    28.185243      2.701886
std      17.630386    30.776996      6.452722
min       3.000000     0.000556      0.000275
25%       3.000000     3.215278      0.733334
50%       5.000000    13.084723      1.097221
75%      10.000000    50.526250      1.823055
95%      58.000000    92.236393      9.930278
99%      90.000000    95.555554     36.811386
max      98.000000    95.789996     94.684715
