n_seqs = 1000
n_types = 10

          n_events    time_span   time_elapsed
count  1000.000000  1000.000000  498574.000000
mean    499.574000  4194.709889       8.413415
std      21.876771   869.806114      13.069618
min     426.000000  1377.362402       0.000002
25%     485.000000  3592.011320       1.416434
50%     500.000000  4205.280136       3.902963
75%     514.000000  4795.343367       9.724540
95%     535.000000  5630.282272      32.204248
99%     548.010000  6148.819099      64.431972
max     560.000000  6529.812034     290.935512
