n_seqs = 1000
n_types = 5

          n_events     time_span  time_elapsed
count  1000.000000   1000.000000  1.000171e+06
mean   1001.171000  15991.123750  1.598839e+01
std      32.228721   1235.040364  2.160797e+01
min     897.000000  12127.200259  2.328412e-06
25%     979.000000  15211.700106  2.926576e+00
50%    1001.000000  15980.139566  8.232991e+00
75%    1021.000000  16773.724234  2.019271e+01
95%    1056.000000  18136.566673  5.820253e+01
99%    1083.020000  19002.864981  1.040876e+02
max    1112.000000  20511.228392  3.962473e+02
