n_seqs = 1000
n_types = 10

          n_events    time_span   time_elapsed
count  1000.000000  1000.000000  249442.000000
mean    250.442000   114.218559       0.457896
std      16.131176    12.182701       0.484760
min     206.000000    80.904183       0.000002
25%     239.000000   106.212997       0.121114
50%     250.000000   113.640687       0.302634
75%     261.000000   121.510835       0.628459
95%     278.000000   135.658177       1.426282
99%     291.010000   144.178019       2.271283
max     305.000000   158.453022       6.281504
