n_seqs = 1000
n_types = 15

          n_events    time_span   time_elapsed
count  1000.000000  1000.000000  265339.000000
mean    266.339000   991.280274       3.735901
std      25.810313     6.236487       3.854299
min     200.000000   953.241786       0.000033
25%     248.000000   988.488298       1.039257
50%     265.000000   992.575009       2.537407
75%     284.000000   995.877856       5.143385
95%     310.000000   998.390747      11.382885
99%     332.010000   999.485238      17.862615
max     347.000000   999.833869      49.442748
