n_seqs = 1000
n_types = 5

          n_events    time_span  time_elapsed
count  1000.000000  1000.000000  16101.000000
mean     17.101000    26.183231      1.626187
std       5.194977     2.919235      1.688665
min       4.000000     9.426843      0.000169
25%      13.750000    24.848518      0.460153
50%      17.000000    26.954145      1.089833
75%      20.000000    28.267677      2.203281
95%      26.000000    29.397168      5.034882
99%      30.000000    29.688852      7.759629
max      33.000000    29.970315     20.917022
