timestamp,dataset,split_id,model,metric,value,config
12:06.9,pgem-1K-15,0,Groundtruth,nll,1186.309313,"{'name': 'pgem', 'n_seqs': 1000, 'n_copies': 3, 'max_t': 1000, 'win_e_a': 200, 'win_e_b': 200, 'win_e_c': 20, 'intens_a': 0.005, 'intens_b': 0.005, 'intens_c': 0.05, 'intens_d': 0.05, 'intens_e_base': 0.005, 'intens_e_direct': 0.015, 'intens_e_syn': 0.05, 'n_splits': 5, 'rand_seed': 1}"
12:06.9,pgem-1K-15,1,Groundtruth,nll,1189.368106,"{'name': 'pgem', 'n_seqs': 1000, 'n_copies': 3, 'max_t': 1000, 'win_e_a': 200, 'win_e_b': 200, 'win_e_c': 20, 'intens_a': 0.005, 'intens_b': 0.005, 'intens_c': 0.05, 'intens_d': 0.05, 'intens_e_base': 0.005, 'intens_e_direct': 0.015, 'intens_e_syn': 0.05, 'n_splits': 5, 'rand_seed': 1}"
12:06.9,pgem-1K-15,2,Groundtruth,nll,1176.161363,"{'name': 'pgem', 'n_seqs': 1000, 'n_copies': 3, 'max_t': 1000, 'win_e_a': 200, 'win_e_b': 200, 'win_e_c': 20, 'intens_a': 0.005, 'intens_b': 0.005, 'intens_c': 0.05, 'intens_d': 0.05, 'intens_e_base': 0.005, 'intens_e_direct': 0.015, 'intens_e_syn': 0.05, 'n_splits': 5, 'rand_seed': 1}"
12:06.9,pgem-1K-15,3,Groundtruth,nll,1180.137609,"{'name': 'pgem', 'n_seqs': 1000, 'n_copies': 3, 'max_t': 1000, 'win_e_a': 200, 'win_e_b': 200, 'win_e_c': 20, 'intens_a': 0.005, 'intens_b': 0.005, 'intens_c': 0.05, 'intens_d': 0.05, 'intens_e_base': 0.005, 'intens_e_direct': 0.015, 'intens_e_syn': 0.05, 'n_splits': 5, 'rand_seed': 1}"
12:06.9,pgem-1K-15,4,Groundtruth,nll,1184.703345,"{'name': 'pgem', 'n_seqs': 1000, 'n_copies': 3, 'max_t': 1000, 'win_e_a': 200, 'win_e_b': 200, 'win_e_c': 20, 'intens_a': 0.005, 'intens_b': 0.005, 'intens_c': 0.05, 'intens_d': 0.05, 'intens_e_base': 0.005, 'intens_e_direct': 0.015, 'intens_e_syn': 0.05, 'n_splits': 5, 'rand_seed': 1}"
12:55.0,pgem-1K-15,0,HExp,nll,1231.348073,"{'model': 'HExp', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': False, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'decay': 0.1, 'penalty': 2.0, 'max_seqs': 0}"
12:55.0,pgem-1K-15,0,HExp,rmse,5.39607913,"{'model': 'HExp', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': False, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'decay': 0.1, 'penalty': 2.0, 'max_seqs': 0}"
12:55.0,pgem-1K-15,0,HExp,mae,3.800401514,"{'model': 'HExp', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': False, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'decay': 0.1, 'penalty': 2.0, 'max_seqs': 0}"
12:55.0,pgem-1K-15,0,HExp,auc,0.602366255,"{'model': 'HExp', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': False, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'decay': 0.1, 'penalty': 2.0, 'max_seqs': 0}"
12:55.0,pgem-1K-15,0,HExp,kendall_tau,0.056863642,"{'model': 'HExp', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': False, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'decay': 0.1, 'penalty': 2.0, 'max_seqs': 0}"
12:55.0,pgem-1K-15,0,HExp,spearman_rho,0.069489205,"{'model': 'HExp', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': False, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'decay': 0.1, 'penalty': 2.0, 'max_seqs': 0}"
13:37.1,mhp-1K-10,0,Groundtruth,nll,2394.876379,"{'name': 'mhp', 'n_seqs': 1000, 'n_types': 10, 'baseline': 0.01, 'n_correlations': 16, 'exp_decay': 0.05, 'constant_decay': False, 'adj_spectral_radius': 0.8, 'max_jumps': 500, 'n_splits': 5, 'rand_seed': 1, 'fit': False}"
13:37.1,mhp-1K-10,0,Groundtruth,rmse,16.57490039,"{'name': 'mhp', 'n_seqs': 1000, 'n_types': 10, 'baseline': 0.01, 'n_correlations': 16, 'exp_decay': 0.05, 'constant_decay': False, 'adj_spectral_radius': 0.8, 'max_jumps': 500, 'n_splits': 5, 'rand_seed': 1, 'fit': False}"
13:37.1,mhp-1K-10,0,Groundtruth,mae,9.031265334,"{'name': 'mhp', 'n_seqs': 1000, 'n_types': 10, 'baseline': 0.01, 'n_correlations': 16, 'exp_decay': 0.05, 'constant_decay': False, 'adj_spectral_radius': 0.8, 'max_jumps': 500, 'n_splits': 5, 'rand_seed': 1, 'fit': False}"
13:37.1,mhp-1K-10,1,Groundtruth,nll,2413.746558,"{'name': 'mhp', 'n_seqs': 1000, 'n_types': 10, 'baseline': 0.01, 'n_correlations': 16, 'exp_decay': 0.05, 'constant_decay': False, 'adj_spectral_radius': 0.8, 'max_jumps': 500, 'n_splits': 5, 'rand_seed': 1, 'fit': False}"
13:37.1,mhp-1K-10,1,Groundtruth,rmse,16.78057625,"{'name': 'mhp', 'n_seqs': 1000, 'n_types': 10, 'baseline': 0.01, 'n_correlations': 16, 'exp_decay': 0.05, 'constant_decay': False, 'adj_spectral_radius': 0.8, 'max_jumps': 500, 'n_splits': 5, 'rand_seed': 1, 'fit': False}"
13:37.1,mhp-1K-10,1,Groundtruth,mae,9.21565241,"{'name': 'mhp', 'n_seqs': 1000, 'n_types': 10, 'baseline': 0.01, 'n_correlations': 16, 'exp_decay': 0.05, 'constant_decay': False, 'adj_spectral_radius': 0.8, 'max_jumps': 500, 'n_splits': 5, 'rand_seed': 1, 'fit': False}"
13:37.1,mhp-1K-10,2,Groundtruth,nll,2395.790151,"{'name': 'mhp', 'n_seqs': 1000, 'n_types': 10, 'baseline': 0.01, 'n_correlations': 16, 'exp_decay': 0.05, 'constant_decay': False, 'adj_spectral_radius': 0.8, 'max_jumps': 500, 'n_splits': 5, 'rand_seed': 1, 'fit': False}"
13:37.1,mhp-1K-10,2,Groundtruth,rmse,16.49473433,"{'name': 'mhp', 'n_seqs': 1000, 'n_types': 10, 'baseline': 0.01, 'n_correlations': 16, 'exp_decay': 0.05, 'constant_decay': False, 'adj_spectral_radius': 0.8, 'max_jumps': 500, 'n_splits': 5, 'rand_seed': 1, 'fit': False}"
