timestamp,dataset,split_id,model,metric,value,config
15:46.0,pgem-1K-15,0,Tran_l1_h1,nll,1203.105103,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
15:46.0,pgem-1K-15,0,Tran_l1_h1,rmse,5.418475772,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
15:46.0,pgem-1K-15,0,Tran_l1_h1,mae,3.820475669,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
15:46.0,pgem-1K-15,0,Tran_l1_h1,auc,0.50617284,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
15:46.0,pgem-1K-15,0,Tran_l1_h1,kendall_tau,0.003428963,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
15:46.0,pgem-1K-15,0,Tran_l1_h1,spearman_rho,0.004190304,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 0, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
30:30.1,pgem-1K-15,1,Tran_l1_h1,nll,1205.124634,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 1, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
30:30.1,pgem-1K-15,1,Tran_l1_h1,rmse,5.376032337,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 1, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
30:30.1,pgem-1K-15,1,Tran_l1_h1,mae,3.771586109,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 1, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
30:30.1,pgem-1K-15,1,Tran_l1_h1,auc,0.547325103,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 1, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
30:30.1,pgem-1K-15,1,Tran_l1_h1,kendall_tau,0.026288719,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 1, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
30:30.1,pgem-1K-15,1,Tran_l1_h1,spearman_rho,0.032125662,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 1, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
47:59.0,pgem-1K-15,2,Tran_l1_h1,nll,1191.270874,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 2, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
47:59.0,pgem-1K-15,2,Tran_l1_h1,rmse,5.485009942,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 2, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
47:59.0,pgem-1K-15,2,Tran_l1_h1,mae,3.850134281,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 2, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
47:59.0,pgem-1K-15,2,Tran_l1_h1,auc,0.450617284,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 2, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
47:59.0,pgem-1K-15,2,Tran_l1_h1,kendall_tau,-0.027431707,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 2, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
47:59.0,pgem-1K-15,2,Tran_l1_h1,spearman_rho,-0.03352243,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 2, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
07:03.4,pgem-1K-15,3,Tran_l1_h1,nll,1196.200439,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 3, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
07:03.4,pgem-1K-15,3,Tran_l1_h1,rmse,5.4730188,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 3, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
07:03.4,pgem-1K-15,3,Tran_l1_h1,mae,3.850046039,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 3, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
07:03.4,pgem-1K-15,3,Tran_l1_h1,auc,0.552983539,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 3, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
07:03.4,pgem-1K-15,3,Tran_l1_h1,kendall_tau,0.029431935,"{'model': 'Tran', 'dataset': 'pgem-1K-15', 'input_dir': 'data/input', 'output_dir': 'data/output', 'split_id': 3, 'rand_seed': 1, 'cuda': True, 'skip_eval_infectivity': False, 'skip_pred_next_event': False, 'verbose': False, 'basis_type': 'dyadic', 'max_mean': 20.0, 'n_bases': 7, 'embedding_dim': 64, 'hidden_size': 64, 'tran_layer': 1, 'tran_head': 1, 'batch_size': 64, 'dropout': 0.0, 'lr': 0.0008, 'epochs': 250, 'optimizer': 'Adam', 'l2_reg': 0, 'num_workers': 0, 'bucket_seqs': False, 'steps': 50, 'attr_batch_size': 0, 'occurred_type_only': False, 'tune_metric': 'nll'}"
